header.cases,/nfs/home/zhangruisi/Downloads/xs-env/XiangShan/SPEC06_EmuTasks_1208/lbm_140840000000_0.429260/simulator_err.txt
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli29_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli30_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli31_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli32_srli32_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli31_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli32_add_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_1,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_2,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_3,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.conflict_fusion_4,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.fused_instr,0
core_with_l2.core.backend.ctrlBlock.intDq.empty,25137198
core_with_l2.core.backend.ctrlBlock.intDq.exHalf,1092
core_with_l2.core.backend.ctrlBlock.intDq.fake_block,27474
core_with_l2.core.backend.ctrlBlock.intDq.full,29265
core_with_l2.core.backend.ctrlBlock.intDq.in,2334142
core_with_l2.core.backend.ctrlBlock.intDq.out,2334098
core_with_l2.core.backend.ctrlBlock.intDq.out_try,4178964
core_with_l2.core.backend.ctrlBlock.intDq.util_0_1,25137197
core_with_l2.core.backend.ctrlBlock.intDq.util_1_2,992217
core_with_l2.core.backend.ctrlBlock.intDq.util_2_3,540386
core_with_l2.core.backend.ctrlBlock.intDq.util_3_4,267536
core_with_l2.core.backend.ctrlBlock.intDq.util_4_5,165513
core_with_l2.core.backend.ctrlBlock.intDq.util_5_6,66737
core_with_l2.core.backend.ctrlBlock.intDq.util_6_7,104810
core_with_l2.core.backend.ctrlBlock.intDq.util_7_8,26431
core_with_l2.core.backend.ctrlBlock.intDq.util_8_9,2044
core_with_l2.core.backend.ctrlBlock.intDq.util_9_10,993
core_with_l2.core.backend.ctrlBlock.intDq.util_10_11,99
core_with_l2.core.backend.ctrlBlock.intDq.util_11_12,0
core_with_l2.core.backend.ctrlBlock.intDq.util_12_13,0
core_with_l2.core.backend.ctrlBlock.intDq.util_13_14,0
core_with_l2.core.backend.ctrlBlock.intDq.util_14_15,0
core_with_l2.core.backend.ctrlBlock.intDq.util_15_16,0
core_with_l2.core.backend.ctrlBlock.intDq.util_mean,0
core_with_l2.core.backend.ctrlBlock.intDq.util_overflow,0
core_with_l2.core.backend.ctrlBlock.intDq.util_sampled,27303963
core_with_l2.core.backend.ctrlBlock.intDq.util_sum,4711490
core_with_l2.core.backend.ctrlBlock.intDq.util_underflow,0
core_with_l2.core.backend.ctrlBlock.intDq.utilization,4711490
core_with_l2.core.backend.ctrlBlock.lsDq.empty,25225348
core_with_l2.core.backend.ctrlBlock.lsDq.exHalf,447884
core_with_l2.core.backend.ctrlBlock.lsDq.fake_block,137103
core_with_l2.core.backend.ctrlBlock.lsDq.full,454405
core_with_l2.core.backend.ctrlBlock.lsDq.in,4715683
core_with_l2.core.backend.ctrlBlock.lsDq.out,4715278
core_with_l2.core.backend.ctrlBlock.lsDq.out_try,7089766
core_with_l2.core.backend.ctrlBlock.lsDq.util_0_1,25225348
core_with_l2.core.backend.ctrlBlock.lsDq.util_1_2,169747
core_with_l2.core.backend.ctrlBlock.lsDq.util_2_3,297122
core_with_l2.core.backend.ctrlBlock.lsDq.util_3_4,121213
core_with_l2.core.backend.ctrlBlock.lsDq.util_4_5,696415
core_with_l2.core.backend.ctrlBlock.lsDq.util_5_6,27283
core_with_l2.core.backend.ctrlBlock.lsDq.util_6_7,80783
core_with_l2.core.backend.ctrlBlock.lsDq.util_7_8,115686
core_with_l2.core.backend.ctrlBlock.lsDq.util_8_9,122482
core_with_l2.core.backend.ctrlBlock.lsDq.util_9_10,64802
core_with_l2.core.backend.ctrlBlock.lsDq.util_10_11,65808
core_with_l2.core.backend.ctrlBlock.lsDq.util_11_12,81295
core_with_l2.core.backend.ctrlBlock.lsDq.util_12_13,67635
core_with_l2.core.backend.ctrlBlock.lsDq.util_13_14,34156
core_with_l2.core.backend.ctrlBlock.lsDq.util_14_15,52989
core_with_l2.core.backend.ctrlBlock.lsDq.util_15_16,81199
core_with_l2.core.backend.ctrlBlock.lsDq.util_mean,0
core_with_l2.core.backend.ctrlBlock.lsDq.util_overflow,50443
core_with_l2.core.backend.ctrlBlock.lsDq.util_sampled,27303963
