header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.fpDq.util_4_5,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_5_6,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_6_7,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_7_8,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_8_9,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_9_10,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_10_11,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_11_12,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_12_13,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_13_14,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_14_15,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_15_16,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_mean,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_overflow,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_sampled,18551972,37753057,36564732
core_with_l2.core.backend.ctrlBlock.fpDq.util_sum,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.util_underflow,0,0,0
core_with_l2.core.backend.ctrlBlock.fpDq.utilization,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi1_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_andi255_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_sexth_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_addw_zexth_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi1_addw_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi127_mulw_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_andi_f00_or_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_logic_andi1_3,0,0,0
